,Neighborhood,Latitude,Longitude,Total Venues,E-scores,KM Cluster Labels,TotalCrimes,ViolentCrimes,PropertyCrimes,MVPolyFit_TotalCrimes,PolyFit_TotalCrimes,DBSCAN_Labels
0,16th Street Heights,38.95031455,-77.03355856,14,2.6390573296152584,0,78,4,74,196.6582621446804,202.12094969448864,0
1,Adams Morgan,38.9204722,-77.04239111,56,3.852064895595161,0,473,39,434,485.23481067044213,649.4678319383006,-1
2,American University Park,38.94761164,-77.09024957,2,0.6931471805599453,0,35,4,31,31.960649156601903,158.9511649137039,-1
3,Arboretum,38.91485976,-76.97248975,16,2.685945324669788,0,86,13,73,176.04303844297863,213.44778033024835,0
4,Barnaby Woods,38.97543344,-77.06017448,4,1.3862943611198906,0,36,0,36,123.44682873957618,115.16620674661792,0
5,Barry Farm,38.85925526,-76.99728051,6,1.5607104090414063,0,119,40,79,174.8569193482839,106.76292222967948,0
6,Bellevue,38.82695245,-77.00927076,4,1.3862943611198906,0,151,45,106,123.44682873957618,115.16620674661792,0
7,Benning,38.8918849,-76.94888362,16,2.772588722239781,0,307,55,252,268.5418803703669,235.98787863707673,-1
8,Benning Ridge,38.8811615,-76.93820271,4,1.3862943611198906,0,110,32,78,123.44682873957618,115.16620674661792,0
9,Bloomingdale,38.91822643,-77.01115934,18,2.8133554045006157,0,321,40,281,234.77697328202544,247.30306437989404,-1
10,Brentwood,38.91897728,-76.98703522,19,2.9444389791664403,0,319,37,282,380.6143533265345,286.6595980873282,-1
11,Brightwood,38.96637934,-77.02687431,25,2.9761388013384353,0,346,33,313,206.7893403102551,296.83513134900033,-1
12,Brightwood Park,38.95574765,-77.02487139,28,3.0659645119836325,0,201,34,167,231.77873311867972,326.989574123634,-1
13,Brookland,38.93140439,-76.98441359,2,0.6931471805599453,0,126,7,119,31.960649156601903,158.9511649137039,-1
14,Burleith/Hillandale,38.91500299,-77.07456576,5,1.6094379124341005,0,51,1,50,108.21590186011281,105.20858582124697,0
15,Burrville,38.90024299,-76.92180247,4,1.3862943611198906,2,245,51,194,123.44682873957618,115.16620674661792,0
16,Buzzard Point,38.86830012,-77.01142455,14,2.5400363038209806,0,40,8,32,127.46713001043108,180.24527838392288,0
17,Capitol Hill,38.88362076,-76.99847748,91,3.9773715427151677,0,428,32,396,645.9386866928885,704.503835209937,-1
18,Capitol View,38.88997845,-76.92708591,6,1.7917594692280547,0,166,54,112,88.8590274334677,103.25626494303857,0
19,Cardozo/Shaw,38.91716829999999,-77.02755011,77,3.7440153500829556,0,1459,178,1281,875.8207413137802,601.729882313159,-1
20,Carver,38.90246526,-76.97784979,20,2.9264175554979963,0,606,141,465,298.13043031110016,280.98660908329947,-1
21,Cathedral Heights,38.93427242,-77.07986043,19,2.8133554045006157,0,34,4,30,201.93373908672532,247.30306437989404,0
22,Central NE,38.89703455,-76.94227676,10,2.1639556568820564,0,201,33,168,92.52814689785737,122.67755460020294,0
23,Chevy Chase,38.96314647,-77.06647761,4,1.3862943611198906,0,37,0,37,123.44682873957618,115.16620674661792,0
24,Chinatown,38.89915120000001,-77.02013527,100,3.9921128906682397,0,769,64,705,737.0139900092122,710.9166193087924,-1
25,Cleveland Park,38.93609787,-77.06440174,8,2.0794415416798357,0,108,5,103,70.63199264803404,115.17756600825764,0
26,Columbia Heights,38.92800829,-77.03058603,44,3.6462708705490803,0,941,159,782,544.779154708323,558.7934580022026,-1
27,Congress Heights,38.84107731,-76.99794993,11,2.0982737395252498,2,147,50,97,137.39216581385494,116.68299002780691,0
28,Connecticut Avenue/K Street,38.90295185,-77.04113386,65,3.5104091888973232,0,914,36,878,901.3574679335557,500.2087915961655,-1
29,Crestwood,38.94332711,-77.04109689,2,0.6931471805599453,0,61,2,59,31.960649156601903,158.9511649137039,-1
30,Deanwood,38.90410727,-76.93280089,5,1.6094379124341005,0,143,28,115,108.21590186011281,105.20858582124697,0
31,Douglass,38.84757145,-76.97964457,8,1.9061547465398496,0,215,48,167,122.4688983754177,105.60604616912889,0
32,Downtown,38.90052615,-77.02917452,52,3.1202842634160595,0,1181,69,1112,775.9174157326315,346.130855922386,-1
33,Downtown East,38.89542816,-77.01423369,30,2.996635675779214,0,98,22,76,217.101907013387,303.54609192511396,-1
34,Dupont Circle,38.9121281,-77.04098370000001,91,4.051062777145282,0,655,52,603,457.29514482112563,736.3621602347474,-1
35,Dupont Park,38.87263041,-76.96281843,12,2.3693821196946767,2,94,8,86,96.58127845633496,149.13322886833822,0
36,Eastland Gardens,38.9053294,-76.94307039,4,1.0397207708399179,0,124,23,101,150.99742580617203,139.25782486776149,0
37,Eckington,38.91520184,-77.00042543,6,1.5607104090414063,0,132,27,105,174.8569193482839,106.76292222967948,0
38,Edgewood,38.92519887,-77.00073929,16,2.599301927099795,0,136,32,104,126.47043914659645,193.00304289497626,0
39,Fairfax Village,38.86345267,-76.95163007,6,1.7917594692280547,0,161,15,146,88.8590274334677,103.25626494303857,0
40,Fairlawn,38.86915850000001,-76.97745178,5,1.3321790402101223,2,294,45,249,186.34199488039962,118.49636981280537,0
41,Foggy Bottom,38.89902171,-77.05243626,36,3.0298697940271375,0,231,18,213,344.11854439465435,314.6427085365723,-1
42,Forest Hills,38.94689272,-77.05846164,6,1.7917594692280547,0,9,0,9,88.8590274334677,103.25626494303857,0
43,Fort Davis Park,38.86890119,-76.94466984,4,1.3862943611198906,2,100,18,82,123.44682873957618,115.16620674661792,0
44,Fort Dupont,38.8860167,-76.95068459,5,1.6094379124341005,0,180,62,118,108.21590186011281,105.20858582124697,0
45,Fort Lincoln,38.92360981,-76.95474878,19,2.7709738809556863,0,213,10,203,168.44470415198242,235.54892468763836,-1
46,Fort McNair,38.86694332,-77.01643809999999,8,2.0794415416798357,0,3,0,3,70.63199264803404,115.17756600825764,0
47,Fort Stanton,38.85565773,-76.98034771,4,1.3862943611198906,0,47,17,30,123.44682873957618,115.16620674661792,0
48,Fort Totten,38.94942994,-77.00812809,6,1.7917594692280547,0,74,7,67,88.8590274334677,103.25626494303857,0
49,Foxhall Crescents,38.9204865,-77.09276674,13,2.351673301904631,0,21,0,21,101.80988898754205,146.38297108013205,0
50,Foxhall Village,38.91324713,-77.08440713,5,1.6094379124341005,0,18,1,17,108.21590186011281,105.20858582124697,0
51,Friendship Heights,38.95690678,-77.08385441,31,2.9530375303326304,0,253,6,247,241.9672392613375,289.39505012395574,-1
52,Garfield Heights,38.85408512,-76.97221327,4,1.3862943611198906,2,156,58,98,123.44682873957618,115.16620674661792,0
53,Gateway,38.91975683,-76.96384571,9,1.8310204811135162,2,129,10,119,194.27689489576466,103.72865405079561,0
54,George Washington University,38.89962774,-77.04792844,56,3.5009793135434797,0,367,21,346,686.5137952675063,496.2098996332473,-1
55,Georgetown,38.90955581,-77.06479559999998,68,3.722532516784313,0,460,10,450,758.6235056121236,592.258465715506,-1
56,Georgetown Reservoir,38.90963713,-77.09067742,5,1.6094379124341005,0,9,2,7,108.21590186011281,105.20858582124697,0
57,Glover Park,38.92153082,-77.07573752,41,3.54451177876286,0,137,7,130,489.19874409600516,514.7522236284138,-1
58,Grant Park,38.8927065,-76.92063844,1,0.0,1,128,35,93,149.8379168540264,96.28784693809031,-1
59,Greenway,38.88478751,-76.96018093,1,0.0,4,114,43,71,149.8379168540264,96.28784693809031,-1
60,Hawthorne,38.98088256,-77.05593445,3,1.0986122886681096,0,5,1,4,110.82875435476444,134.96307090964075,0
61,Hill East,38.88333,-76.97995066,4,1.3862943611198906,0,150,22,128,123.44682873957618,115.16620674661792,0
62,Hillcrest,38.86179449,-76.96068825,4,1.3862943611198906,0,198,13,185,123.44682873957618,115.16620674661792,0
63,Hillsdale,38.85842336,-76.99056102,3,1.0986122886681096,2,200,63,137,110.82875435476444,134.96307090964075,0
64,Historic Anacostia,38.86318571,-76.98467764,14,2.5400363038209806,0,223,47,176,127.46713001043108,180.24527838392288,-1
65,Howard University,38.92235482,-77.01961027,26,3.15145851024303,0,326,30,296,380.8928143434448,357.4092935691453,-1
66,Ivy City,38.91038948,-76.99162689,8,1.6674619334292948,0,129,27,102,225.68213279943774,103.89304900550262,0
67,Kalorama Heights,38.91566044,-77.05119471,10,2.3025850929940455,0,131,8,123,88.21974121239856,139.22655528622423,0
68,Kenilworth,38.91067876,-76.93858599,5,1.6094379124341005,2,94,33,61,108.21590186011281,105.20858582124697,0
69,Kingman Park,38.89488657,-76.97843658,6,1.5607104090414063,1,250,51,199,174.8569193482839,106.76292222967948,0
70,Knox Hill/Buena Vista,38.85368806,-76.96766003,5,1.0549201679861442,2,220,58,162,183.20756526898208,138.15683050582203,0
71,Lamond Riggs,38.96506973,-77.00644505,12,2.1383330595080277,0,81,4,77,147.5188047557886,120.20040004160391,0
72,Langdon,38.92401696,-76.97468946,5,1.3321790402101223,1,144,20,124,186.34199488039962,118.49636981280537,0
73,Langston,38.90133626,-76.97236709,18,2.582306344313967,0,217,65,152,119.71793160789144,189.24203122347228,-1
74,Lanier Heights,38.92524883,-77.04269355,39,3.352360333911997,0,391,33,358,360.7257661199361,434.72023696593936,-1
75,Le Droit Park,38.9168316,-77.01760455,57,3.6750185399929354,0,593,94,499,569.2938063101406,571.3734524295594,-1
76,Lincoln Heights,38.89580517,-76.93109656,4,1.3862943611198906,2,190,65,125,123.44682873957618,115.16620674661792,0
77,Lincoln Park,38.8872107,-76.98970996,6,1.7917594692280547,0,218,22,196,88.8590274334677,103.25626494303857,0
78,Logan Circle/Shaw,38.90981631,-77.02534038,40,3.330230943723399,0,651,49,602,365.24890069784976,425.8459147550627,-1
79,Manor Park,38.96206164,-77.01265712,6,1.5607104090414063,0,56,5,51,174.8569193482839,106.76292222967948,0
80,Marshall Heights,38.88437194,-76.92912172,4,1.3862943611198906,0,212,63,149,123.44682873957618,115.16620674661792,0
81,Mass. Ave. Heights,38.92539876,-77.07007462,13,2.5649493574615376,0,41,5,36,163.6106146821853,185.48600578354092,0
82,Mayfair,38.90111564,-76.95129459,1,0.0,0,215,59,156,149.8379168540264,96.28784693809031,-1
83,McLean Gardens,38.93615125,-77.07529572,18,2.6701198898068177,0,95,3,92,132.30167826916298,209.55579906684463,0
84,Michigan Park,38.94693414,-76.98377196,2,0.6931471805599453,1,66,4,62,31.960649156601903,158.9511649137039,-1
85,Monumental Core,38.88446306,-77.03733448,18,2.582306344313967,0,1,0,1,119.71793160789144,189.24203122347228,0
86,Mount Pleasant,38.93174149,-77.04065589,28,2.985630919895231,0,271,43,228,198.2918908798457,299.93025679571866,-1
87,Mount Vernon Square,38.90433981,-77.02331348,100,3.763688882070573,0,825,58,767,592.5363553553157,610.4143898579523,-1
88,Mount Vernon Triangle,38.90241699,-77.01687926,38,3.309253284724307,0,552,48,504,341.15410576360125,417.5091856728277,-1
89,NE Boundary,38.89545082,-76.91738943,2,0.0,2,139,39,100,50.028490783271536,96.28784693809031,-1
90,Navy Yard,38.87426841,-76.99846165,38,3.3181953392924854,0,137,8,129,343.8537012762645,421.0536656791342,-1
91,Naylor Gardens,38.85672443,-76.96304603,16,2.4799555205445176,2,311,35,276,113.45352468976421,168.3382618432232,-1
92,Near Northeast,38.90237479,-76.99973389,50,3.5847238908503476,0,571,48,523,493.7980746804469,532.0513280427374,-1
93,Near Southeast,38.87838447,-77.00062711,29,3.1760828146595914,0,298,21,277,313.1076461687286,366.46386864776247,-1
94,North Capitol Street,38.90253216,-77.01127535,30,3.135265111891203,0,378,29,349,259.43464195775914,351.5246281267591,-1
95,North Cleveland Park,38.94787867,-77.07177356,3,1.0986122886681096,0,50,5,45,110.82875435476444,134.96307090964075,0
96,North Michigan Park,38.94564416,-76.99366629,3,1.0986122886681096,0,58,8,50,110.82875435476444,134.96307090964075,0
97,North Portal Estates,38.99176498,-77.04087665,1,0.0,3,27,0,27,149.8379168540264,96.28784693809031,-1
98,Palisades,38.92980767,-77.10352038,11,2.2718685126965625,0,37,1,36,90.61899877382427,135.09601805868084,0
99,Park View,38.93460426,-77.02144427,36,3.352469878269462,0,420,37,383,369.9117049444128,434.76436555347277,-1
100,Penn Branch,38.86956018,-76.95342386,5,1.6094379124341005,0,51,6,45,108.21590186011281,105.20858582124697,0
101,Penn Quarter,38.89537045,-77.02218065,100,3.9710518112621767,0,512,39,473,762.2508638498853,701.749396914217,-1
102,Petworth,38.94303913,-77.02401733,16,2.6859453246697877,0,280,30,250,176.04303844297823,213.4477803302482,-1
103,Pleasant Hill,38.94107919,-77.00480355,5,1.6094379124341005,2,72,13,59,108.21590186011281,105.20858582124697,0
104,Pleasant Plains,38.92947297,-77.023101,26,3.098139496353803,0,465,58,407,302.1996520031961,338.247761942111,-1
105,Queens Chapel,38.95607002,-76.99659057,6,1.5607104090414063,2,196,18,178,174.8569193482839,106.76292222967948,0
106,Randle Highlands,38.86933565,-76.96580364,7,1.7478680974667573,0,94,10,84,148.47747894407473,103.12185969915552,0
107,River Terrace,38.89370455,-76.95768066,8,2.0794415416798357,0,115,25,90,70.63199264803404,115.17756600825764,0
108,Shepherd Park,38.98298005,-77.03212571,5,1.6094379124341005,0,116,4,112,108.21590186011281,105.20858582124697,0
109,Shipley,38.84686013,-76.97290234,7,1.7478680974667573,2,160,49,111,148.47747894407473,103.12185969915552,0
110,Skyland,38.86026696,-76.97170298,6,1.7917594692280547,0,168,38,130,88.8590274334677,103.25626494303857,0
111,South Central,38.92398546,-76.96504312,7,1.945910149055313,0,156,8,148,75.25860194166603,107.13875914708977,0
112,Southwest Employment Area,38.88501657,-77.02031687,84,3.4527023413999864,0,165,8,157,428.19250480478286,475.90460712432593,-1
113,Southwest/Waterfront,38.87790836,-77.01690296,13,2.2047854169135204,0,251,31,220,144.23047803678898,126.99620826419994,-1
114,Spring Valley,38.93931138,-77.09672424,2,0.6931471805599453,4,19,0,19,31.960649156601903,158.9511649137039,-1
115,Stanton Park,38.89489782,-76.99424171,6,1.5607104090414063,2,285,27,258,174.8569193482839,106.76292222967948,0
116,Stronghold,38.92577558,-77.00776741,8,1.9061547465398496,0,64,8,56,122.4688983754177,105.60604616912889,0
117,Takoma,38.9764616,-77.0215583,22,2.9020023132056028,0,176,9,167,203.95956494408904,273.4321373028191,-1
118,Tenleytown,38.9471274,-77.08016309,49,3.5875460144631193,0,236,10,226,481.3581191818025,533.2709569163072,-1
119,Trinidad,38.90846246,-76.98273699,5,1.6094379124341005,0,317,67,250,108.21590186011281,105.20858582124697,0
120,Truxton Circle,38.90966731,-77.01239416,24,3.178053830347946,0,417,82,335,552.0244640782624,367.1940805865843,-1
121,Twining,38.87558791,-76.96084721,5,1.6094379124341005,2,47,5,42,108.21590186011281,105.20858582124697,0
122,University Heights,38.93824876,-76.9957615,12,2.4849066497880012,0,101,12,89,133.73678523163133,169.28032242076733,0
123,Van Ness,38.94339058,-77.06610638,25,3.0315905757832304,0,166,7,159,253.8878182644807,315.2244202510195,-1
124,Washington Highlands,38.83023741,-76.99563621,7,1.7478680974667573,0,212,53,159,148.47747894407473,103.12185969915552,0
125,Wesley Heights,38.92998082,-77.08832491,13,2.1383972463477248,0,25,1,24,175.98981278813835,120.20638276231368,0
126,West End,38.90555034,-77.05188247,49,3.2688493182862555,0,366,22,344,633.0829772030208,401.66928272260265,-1
127,Woodland,38.85655424,-76.97392561,4,1.3862943611198906,0,91,34,57,123.44682873957618,115.16620674661792,0
128,Woodland-Normanstone,38.92285,-77.06075347,5,1.3321790402101223,0,8,0,8,186.34199488039962,118.49636981280537,0
129,Woodley Park,38.92726532,-77.05748295,18,2.8133554045006157,0,75,6,69,234.77697328202544,247.30306437989404,0
130,Woodridge,38.93402103,-76.96863953,6,1.5607104090414063,2,101,14,87,174.8569193482839,106.76292222967948,0
