,Neighborhood,Latitude,Longitude,TotalCrimes,ViolentCrimes,PropertyCrimes
0,Fort Stanton,38.85565773,-76.98034771,47,17,30
1,Congress Heights,38.84107731,-76.99794993,147,50,97
2,Washington Highlands,38.83023741,-76.99563621,212,53,159
3,Bellevue,38.82695245,-77.00927076,151,45,106
4,Knox Hill/Buena Vista,38.85368806,-76.96766003,220,58,162
5,Shipley,38.84686013,-76.97290234,160,49,111
6,Douglass,38.84757145,-76.97964457,215,48,167
7,Woodland,38.85655424,-76.97392561,91,34,57
8,Garfield Heights,38.85408512,-76.97221327,156,58,98
9,Near Southeast,38.87838447,-77.00062711,298,21,277
10,Capitol Hill,38.88362076,-76.99847748,428,32,396
11,Dupont Park,38.87263041,-76.96281843,94,8,86
12,Twining,38.87558791,-76.96084721,47,5,42
13,Randle Highlands,38.86933565,-76.96580364,94,10,84
14,Fairlawn,38.869158500000005,-76.97745178,294,45,249
15,Penn Branch,38.86956018,-76.95342386,51,6,45
16,Barry Farm,38.85925526,-76.99728051,119,40,79
17,Historic Anacostia,38.86318571,-76.98467764,223,47,176
18,Columbia Heights,38.92800829,-77.03058603,941,159,782
19,Logan Circle/Shaw,38.90981631,-77.02534038,651,49,602
20,Cardozo/Shaw,38.91716829999999,-77.02755011,1459,178,1281
21,Van Ness,38.94339058,-77.06610638,166,7,159
22,Forest Hills,38.94689272,-77.05846164,9,0,9
23,Georgetown Reservoir,38.90963713,-77.09067742,9,2,7
24,Foxhall Village,38.91324713,-77.08440713,18,1,17
25,Fort Totten,38.94942994,-77.00812809,74,7,67
26,Pleasant Hill,38.94107919,-77.00480355,72,13,59
27,Kenilworth,38.91067876,-76.93858599,94,33,61
28,Eastland Gardens,38.9053294,-76.94307039,124,23,101
29,Deanwood,38.90410727,-76.93280089,143,28,115
30,Fort Dupont,38.8860167,-76.95068459,180,62,118
31,Greenway,38.88478751,-76.96018093,114,43,71
32,Woodland-Normanstone,38.92285,-77.06075347,8,0,8
33,Mass. Ave. Heights,38.92539876,-77.07007462,41,5,36
34,Naylor Gardens,38.85672443,-76.96304603,311,35,276
35,Pleasant Plains,38.92947297,-77.023101,465,58,407
36,Hillsdale,38.85842336,-76.99056102,200,63,137
37,Benning Ridge,38.8811615,-76.93820271,110,32,78
38,Penn Quarter,38.89537045,-77.02218065,512,39,473
39,Chinatown,38.899151200000006,-77.02013527,769,64,705
40,Stronghold,38.92577558,-77.00776741,64,8,56
41,South Central,38.92398546,-76.96504312,156,8,148
42,Langston,38.90133626,-76.97236709,217,65,152
43,Downtown East,38.89542816,-77.01423369,98,22,76
44,North Portal Estates,38.99176498,-77.04087665,27,0,27
45,Colonial Village,38.98678956,-77.04109381,23,0,23
46,Shepherd Park,38.98298005,-77.03212571,116,4,112
47,Takoma,38.9764616,-77.0215583,176,9,167
48,Lamond Riggs,38.96506973,-77.00644505,81,4,77
49,Petworth,38.94303913,-77.02401733,280,30,250
50,Brightwood Park,38.95574765,-77.02487139,201,34,167
51,Manor Park,38.96206164,-77.01265712,56,5,51
52,Brightwood,38.96637934,-77.02687431,346,33,313
53,Hawthorne,38.98088256,-77.05593445,5,1,4
54,Barnaby Woods,38.97543344,-77.06017448,36,0,36
55,Queens Chapel,38.95607002,-76.99659057,196,18,178
56,Michigan Park,38.94693414,-76.98377196,66,4,62
57,North Michigan Park,38.94564416,-76.99366629,58,8,50
58,Woodridge,38.93402103,-76.96863953,101,14,87
59,University Heights,38.93824876,-76.9957615,101,12,89
60,Brookland,38.93140439,-76.98441359,126,7,119
61,Edgewood,38.92519887,-77.00073929,136,32,104
62,Skyland,38.86026696,-76.97170298,168,38,130
63,Bloomingdale,38.91822643,-77.01115934,321,40,281
64,Lincoln Park,38.887210700000004,-76.98970996,218,22,196
65,16th Street Heights,38.95031455,-77.03355856,78,4,74
66,Fort Lincoln,38.92360981,-76.95474878,213,10,203
67,Gateway,38.91975683,-76.96384571,129,10,119
68,Langdon,38.92401696,-76.97468946,144,20,124
69,Brentwood,38.91897728,-76.98703522,319,37,282
70,Eckington,38.91520184,-77.00042543,132,27,105
71,Truxton Circle,38.90966731,-77.01239416,417,82,335
72,Ivy City,38.91038948,-76.99162689,129,27,102
73,Trinidad,38.90846246,-76.98273699,317,67,250
74,Arboretum,38.91485976,-76.97248975,86,13,73
75,Carver,38.90246526,-76.97784979,606,141,465
76,Mount Vernon Triangle,38.90241699,-77.01687926,552,48,504
77,North Capitol Street,38.90253216,-77.01127535,378,29,349
78,Downtown,38.90052615,-77.02917452,1181,69,1112
79,Connecticut Avenue/K Street,38.90295185,-77.04113386,914,36,878
80,George Washington University,38.89962774,-77.04792844,367,21,346
81,Foggy Bottom,38.89902171,-77.05243626,231,18,213
82,West End,38.90555034,-77.05188247,366,22,344
83,Monumental Core,38.88446306,-77.03733448,1,0,1
84,Georgetown,38.90955581,-77.06479559999998,460,10,450
85,Burleith/Hillandale,38.91500299,-77.07456576,51,1,50
86,Southwest Employment Area,38.88501657,-77.02031687,165,8,157
87,Southwest/Waterfront,38.87790836,-77.01690296,251,31,220
88,Buzzard Point,38.86830012,-77.01142455,40,8,32
89,Fort McNair,38.86694332,-77.01643809999999,3,0,3
90,Chevy Chase,38.96314647,-77.06647761,37,0,37
91,Friendship Heights,38.95690678,-77.08385441,253,6,247
92,North Cleveland Park,38.94787867,-77.07177356,50,5,45
93,Tenleytown,38.9471274,-77.08016309,236,10,226
94,American University Park,38.94761164,-77.09024957,35,4,31
95,Spring Valley,38.93931138,-77.09672424,19,0,19
96,Cathedral Heights,38.93427242,-77.07986043,34,4,30
97,McLean Gardens,38.93615125,-77.07529572,95,3,92
98,Cleveland Park,38.93609787,-77.06440174,108,5,103
99,Woodley Park,38.92726532,-77.05748295,75,6,69
100,Glover Park,38.92153082,-77.07573752,137,7,130
101,Wesley Heights,38.92998082,-77.08832491,25,1,24
102,Foxhall Crescents,38.920486499999996,-77.09276674,21,0,21
103,Palisades,38.92980767,-77.10352038,37,1,36
104,Kalorama Heights,38.91566044,-77.05119471,131,8,123
105,Adams Morgan,38.9204722,-77.04239111,473,39,434
106,Dupont Circle,38.912128100000004,-77.04098370000001,655,52,603
107,Lanier Heights,38.92524883,-77.04269355,391,33,358
108,Mount Pleasant,38.93174149,-77.04065589,271,43,228
109,Park View,38.93460426,-77.02144427,420,37,383
110,Le Droit Park,38.9168316,-77.01760455,593,94,499
111,Howard University,38.92235482,-77.01961027,326,30,296
112,Near Northeast,38.90237479,-76.99973389,571,48,523
113,Stanton Park,38.89489782,-76.99424171,285,27,258
114,Kingman Park,38.89488657,-76.97843658,250,51,199
115,Hill East,38.88333,-76.97995066,150,22,128
116,Navy Yard,38.87426841,-76.99846165,137,8,129
117,Mayfair,38.90111564,-76.95129459,215,59,156
118,River Terrace,38.89370455,-76.95768066,115,25,90
119,Burrville,38.90024299,-76.92180247,245,51,194
120,NE Boundary,38.89545082,-76.91738943,139,39,100
121,Benning,38.8918849,-76.94888362,307,55,252
122,Grant Park,38.8927065,-76.92063844,128,35,93
123,Central NE,38.89703455,-76.94227676,201,33,168
124,Lincoln Heights,38.89580517,-76.93109656,190,65,125
125,Capitol View,38.88997845,-76.92708591,166,54,112
126,Marshall Heights,38.88437194,-76.92912172,212,63,149
127,Fort Davis Park,38.86890119,-76.94466984,100,18,82
128,Fairfax Village,38.86345267,-76.95163007,161,15,146
129,Hillcrest,38.86179449,-76.96068825,198,13,185
130,Crestwood,38.94332711,-77.04109689,61,2,59
131,Mount Vernon Square,38.90433981,-77.02331348,825,58,767
